cat,date,fcst
hw-8,2048-09-01,9.435298897493224e-20
hw-8,2048-10-01,9.435298897493224e-20
hw-8,2048-11-01,9.435298897493224e-20
hw-8,2048-12-01,9.435298897493224e-20
hw-8,2049-01-01,9.435298897493224e-20
hw-8,2049-02-01,9.435298897493224e-20
hw-8,2049-03-01,9.435298897493224e-20
hw-8,2049-04-01,9.435298897493224e-20
hw-8,2049-05-01,9.435298897493224e-20
hw-8,2049-06-01,9.435298897493224e-20
hw-8,2049-07-01,9.435298897493224e-20
hw-8,2049-08-01,9.435298897493224e-20
hw-8,2049-09-01,9.435298897493224e-20
hw-8,2049-10-01,9.435298897493224e-20
hw-8,2049-11-01,9.435298897493224e-20
hw-8,2049-12-01,9.435298897493224e-20
hw-8,2050-01-01,9.435298897493224e-20
hw-9,2048-02-01,543.7913166203862
hw-9,2048-03-01,543.6331112354717
hw-9,2048-04-01,543.2589733953621
hw-9,2048-05-01,543.2812376350248
hw-9,2048-06-01,541.6531076948938
hw-9,2048-07-01,539.2909153125447
hw-9,2048-08-01,534.0688165845809
hw-9,2048-09-01,532.8072470711751
hw-9,2048-10-01,534.2359245549227
hw-9,2048-11-01,534.3280022779317
hw-9,2048-12-01,529.4734753059489
hw-9,2049-01-01,527.443921221521
hw-9,2049-02-01,483.0673822635536
hw-9,2049-03-01,454.34590151816434
hw-9,2049-04-01,436.5957585084742
hw-9,2049-05-01,398.64994340262547
hw-9,2049-06-01,323.47626865310286
hw-9,2049-07-01,332.1381173291683
hw-9,2049-08-01,317.6871399702486
hw-9,2049-09-01,325.9346931000734
hw-9,2049-10-01,329.8357050295266
hw-9,2049-11-01,320.7144574311708
hw-9,2049-12-01,309.7830570263473
hw-9,2050-01-01,328.7506595893548
hw-10,2048-02-01,92.46451618112246
hw-10,2048-03-01,87.48198122040192
hw-10,2048-04-01,85.93829415957929
hw-10,2048-05-01,85.93829415957929
hw-10,2048-06-01,85.93829415957929
hw-10,2048-07-01,85.93829415957929
hw-10,2048-08-01,85.93829415957929
hw-10,2048-09-01,84.01489296205573
hw-10,2048-10-01,84.01489296205573
hw-10,2048-11-01,84.01489296205573
hw-10,2048-12-01,84.01489296205573
hw-10,2049-01-01,84.01489296205573
hw-10,2049-02-01,75.85014805141991
hw-10,2049-03-01,79.42626388670824
hw-10,2049-04-01,76.66832665501566
hw-10,2049-05-01,78.0085330643858
hw-10,2049-06-01,73.56058263387635
hw-10,2049-07-01,74.18235720234308
hw-10,2049-08-01,80.3902880147935
hw-10,2049-09-01,84.22688057279724
hw-10,2049-10-01,83.09443353982721
hw-10,2049-11-01,83.13568811850968
hw-10,2049-12-01,80.88599689738709
hw-10,2050-01-01,79.64963304971721
hw-24,2048-02-01,679.3891641098904
hw-24,2048-03-01,682.0861385516249
hw-24,2048-04-01,688.4801201275612
hw-24,2048-05-01,694.8780447197339
hw-24,2048-06-01,693.391654488003
hw-24,2048-07-01,685.4745152077587
hw-24,2048-08-01,676.610653268295
hw-24,2048-09-01,668.8281002079873
hw-24,2048-10-01,654.021989022216
hw-24,2048-11-01,652.110998043333
hw-24,2048-12-01,655.5573936677381
hw-24,2049-01-01,653.7784801696388
hw-24,2049-02-01,643.8323969319092
hw-24,2049-03-01,650.4560423307232
hw-24,2049-04-01,636.4163264583027
hw-24,2049-05-01,634.5211529947602
hw-24,2049-06-01,632.3170226179511
hw-24,2049-07-01,627.6736178646407
hw-24,2049-08-01,631.1350893038882
