cat,date,fcst
hw-10,2048-06-01,83.38
hw-10,2048-07-01,83.38
hw-10,2048-08-01,83.38
hw-10,2048-09-01,81.51
hw-10,2048-10-01,81.51
hw-10,2048-11-01,81.51
hw-10,2048-12-01,81.51
hw-10,2049-01-01,81.51
hw-10,2049-02-01,73.59
hw-10,2049-03-01,77.06
hw-10,2049-04-01,74.39
hw-10,2049-05-01,75.69
hw-10,2049-06-01,71.37
hw-10,2049-07-01,71.97
hw-10,2049-08-01,77.99
hw-10,2049-09-01,81.72
hw-10,2049-10-01,80.62
hw-10,2049-11-01,80.66
hw-10,2049-12-01,78.47
hw-10,2050-01-01,77.27
hw-24,2048-02-01,659.16
hw-24,2048-03-01,661.77
hw-24,2048-04-01,667.98
hw-24,2048-05-01,674.18
hw-24,2048-06-01,672.75
hw-24,2048-07-01,665.06
hw-24,2048-08-01,656.46
hw-24,2048-09-01,648.92
hw-24,2048-10-01,634.55
hw-24,2048-11-01,632.7
hw-24,2048-12-01,636.03
hw-24,2049-01-01,634.31
hw-24,2049-02-01,624.66
hw-24,2049-03-01,631.09
hw-24,2049-04-01,617.47
hw-24,2049-05-01,615.62
hw-24,2049-06-01,613.49
hw-24,2049-07-01,608.99
hw-24,2049-08-01,612.34
hw-24,2049-09-01,609.38
hw-24,2049-10-01,610.13
hw-24,2049-11-01,615.86
hw-24,2049-12-01,626.0
hw-24,2050-01-01,621.0
hw-25,2048-02-01,369.68
hw-25,2048-03-01,369.85
hw-25,2048-04-01,369.85
hw-25,2048-05-01,373.8
hw-25,2048-06-01,378.52
hw-25,2048-07-01,379.6
hw-25,2048-08-01,379.01
hw-25,2048-09-01,378.44
hw-25,2048-10-01,378.37
hw-25,2048-11-01,381.23
hw-25,2048-12-01,385.54
hw-25,2049-01-01,388.19
hw-25,2049-02-01,387.76
hw-25,2049-03-01,388.2
hw-25,2049-04-01,388.67
hw-25,2049-05-01,392.34
hw-25,2049-06-01,392.16
hw-25,2049-07-01,392.11
hw-25,2049-08-01,395.64
hw-25,2049-09-01,394.09
hw-25,2049-10-01,395.64
hw-25,2049-11-01,394.17
hw-25,2049-12-01,394.17
hw-25,2050-01-01,393.1
hw-26,2048-02-01,8.12
hw-26,2048-03-01,8.12
hw-26,2048-04-01,8.12
hw-26,2048-05-01,8.12
hw-26,2048-06-01,9.57
hw-26,2048-07-01,9.57
hw-26,2048-08-01,9.57
hw-26,2048-09-01,9.57
hw-26,2048-10-01,9.57
hw-26,2048-11-01,9.57
hw-26,2048-12-01,9.57
hw-26,2049-01-01,5.65
hw-26,2049-02-01,5.65
hw-26,2049-03-01,5.65
hw-26,2049-04-01,5.65
hw-26,2049-05-01,5.65
hw-26,2049-06-01,5.65
hw-26,2049-07-01,5.65
hw-26,2049-08-01,5.65
hw-26,2049-09-01,5.38
hw-26,2049-10-01,5.94
hw-26,2049-11-01,5.94
hw-26,2049-12-01,5.94
hw-26,2050-01-01,4.87
hw-27,2048-02-01,0.0
hw-27,2048-03-01,0.0
hw-27,2048-04-01,0.0
hw-27,2048-05-01,0.0
hw-27,2048-06-01,0.0
hw-27,2048-07-01,0.0
hw-27,2048-08-01,0.0
hw-27,2048-09-01,0.0
hw-27,2048-10-01,0.0
hw-27,2048-11-01,0.0
hw-27,2048-12-01,0.0
hw-27,2049-01-01,0.0
hw-27,2049-02-01,0.0
hw-27,2049-03-01,0.0
hw-27,2049-04-01,0.0
hw-27,2049-05-01,0.0
hw-27,2049-06-01,0.0
hw-27,2049-07-01,0.0
hw-27,2049-08-01,0.0
hw-27,2049-09-01,0.0
hw-27,2049-10-01,0.0
hw-27,2049-11-01,0.0
hw-27,2049-12-01,0.0
hw-27,2050-01-01,0.0
hw-28,2048-02-01,27.03
hw-28,2048-03-01,27.03
hw-28,2048-04-01,27.03
hw-28,2048-05-01,27.03
hw-28,2048-06-01,27.01
hw-28,2048-07-01,27.01
hw-28,2048-08-01,25.78
hw-28,2048-09-01,25.78
hw-28,2048-10-01,25.78
hw-28,2048-11-01,25.78
hw-28,2048-12-01,25.78
hw-28,2049-01-01,25.78
hw-28,2049-02-01,25.78
hw-28,2049-03-01,25.78
hw-28,2049-04-01,30.68
hw-28,2049-05-01,30.68
hw-28,2049-06-01,30.76
hw-28,2049-07-01,30.76
hw-28,2049-08-01,30.76
hw-28,2049-09-01,30.71
hw-28,2049-10-01,30.71
hw-28,2049-11-01,30.71
hw-28,2049-12-01,29.15
hw-28,2050-01-01,23.7
hw-29,2048-02-01,3285.3
hw-29,2048-03-01,3285.7
hw-29,2048-04-01,3284.92
hw-29,2048-05-01,3284.92
hw-29,2048-06-01,3285.92
hw-29,2048-07-01,3284.92
hw-29,2048-08-01,3285.92
hw-29,2048-09-01,3286.85
hw-29,2048-10-01,3280.57
hw-29,2048-11-01,3278.4
hw-29,2048-12-01,3281.88
hw-29,2049-01-01,3281.88
hw-29,2049-02-01,3281.83
hw-29,2049-03-01,3281.19
hw-29,2049-04-01,3278.4
hw-29,2049-05-01,3274.93
hw-29,2049-06-01,3314.75
hw-29,2049-07-01,3318.62
hw-29,2049-08-01,3318.62
hw-29,2049-09-01,3284.53
hw-29,2049-10-01,3285.38
hw-29,2049-11-01,3308.35
hw-29,2049-12-01,3269.9
hw-29,2050-01-01,3259.15
hw-30,2048-02-01,1887.99
hw-30,2048-03-01,1892.41
hw-30,2048-04-01,1933.68
hw-30,2048-05-01,1963.59
hw-30,2048-06-01,1963.59
hw-30,2048-07-01,1975.83
hw-30,2048-08-01,1983.15
hw-30,2048-09-01,1985.27
hw-30,2048-10-01,1981.49
hw-30,2048-11-01,1989.07
hw-30,2048-12-01,1990.91
hw-30,2049-01-01,2028.61
hw-30,2049-02-01,1985.61
hw-30,2049-03-01,1987.09
hw-30,2049-04-01,1984.2
hw-30,2049-05-01,2023.9
hw-30,2049-06-01,2031.56
hw-30,2049-07-01,2034.4
hw-30,2049-08-01,2033.47
hw-30,2049-09-01,2069.87
hw-30,2049-10-01,2082.9
hw-30,2049-11-01,2100.77
hw-30,2049-12-01,2091.53
hw-30,2050-01-01,2092.28
hw-31,2048-02-01,0.0
hw-31,2048-03-01,0.0
hw-31,2048-04-01,0.0
hw-31,2048-05-01,0.0
hw-31,2048-06-01,0.0
hw-31,2048-07-01,0.0
hw-31,2048-08-01,0.0
hw-31,2048-09-01,0.0
hw-31,2048-10-01,0.0
hw-31,2048-11-01,0.0
hw-31,2048-12-01,0.0
hw-31,2049-01-01,0.0
hw-31,2049-02-01,0.0
hw-31,2049-03-01,0.0
hw-31,2049-04-01,0.0
hw-31,2049-05-01,0.0
hw-31,2049-06-01,0.0
hw-31,2049-07-01,0.0
hw-31,2049-08-01,0.0
hw-31,2049-09-01,0.0
hw-31,2049-10-01,0.0
hw-31,2049-11-01,0.0
hw-31,2049-12-01,0.0
hw-31,2050-01-01,0.0
hw-32,2048-02-01,2133.89
hw-32,2048-03-01,2121.6
hw-32,2048-04-01,2127.83
hw-32,2048-05-01,2123.97
hw-32,2048-06-01,2128.3
hw-32,2048-07-01,2128.49
hw-32,2048-08-01,2128.21
hw-32,2048-09-01,2128.49
hw-32,2048-10-01,2128.15
hw-32,2048-11-01,2120.76
hw-32,2048-12-01,2141.91
hw-32,2049-01-01,2141.7
hw-32,2049-02-01,2148.05
hw-32,2049-03-01,2140.79
hw-32,2049-04-01,2147.14
hw-32,2049-05-01,2140.79
hw-32,2049-06-01,2110.32
hw-32,2049-07-01,2127.58
hw-32,2049-08-01,2143.2
hw-32,2049-09-01,2133.99
hw-32,2049-10-01,2126.11
hw-32,2049-11-01,2130.04
hw-32,2049-12-01,2143.58
hw-32,2050-01-01,2140.35
well-1,2048-02-01,1666.9
well-1,2048-03-01,1665.09
well-1,2048-04-01,1657.91
well-1,2048-05-01,1662.24
well-1,2048-06-01,1627.23
well-1,2048-07-01,1578.2
well-1,2048-08-01,1578.4
well-1,2048-09-01,1578.24
well-1,2048-10-01,1571.03
well-1,2048-11-01,1567.06
well-1,2048-12-01,1594.94
well-1,2049-01-01,1603.63
well-1,2049-02-01,1618.64
well-1,2049-03-01,1617.74
well-1,2049-04-01,1615.96
well-1,2049-05-01,1615.96
well-1,2049-06-01,1619.7
well-1,2049-07-01,1615.74
well-1,2049-08-01,1625.42
well-1,2049-09-01,1620.7
well-1,2049-10-01,1616.18
well-1,2049-11-01,1622.64
well-1,2049-12-01,1624.97
well-1,2050-01-01,1624.71
well-10,2048-02-01,1072.16
well-10,2048-03-01,1072.87
well-10,2048-04-01,1077.26
well-10,2048-05-01,1077.67
well-10,2048-06-01,1093.28
well-10,2048-07-01,1093.88
well-10,2048-08-01,1093.86
well-10,2048-09-01,1094.12
well-10,2048-10-01,1093.68
well-10,2048-11-01,1098.17
well-10,2048-12-01,1093.84
well-10,2049-01-01,1086.45
well-10,2049-02-01,1101.78
well-10,2049-03-01,1107.56
well-10,2049-04-01,1109.39
well-10,2049-05-01,1116.18
well-10,2049-06-01,1107.77
well-10,2049-07-01,1111.91
well-10,2049-08-01,1112.37
well-10,2049-09-01,1108.23
well-10,2049-10-01,1112.05
well-10,2049-11-01,1109.39
well-10,2049-12-01,1122.04
well-10,2050-01-01,1124.36
well-100,2048-02-01,756.57
well-100,2048-03-01,762.06
well-100,2048-04-01,758.86
well-100,2048-05-01,759.88
well-100,2048-06-01,763.16
well-100,2048-07-01,763.96
well-100,2048-08-01,764.7
well-100,2048-09-01,764.2
well-100,2048-10-01,765.5
well-100,2048-11-01,765.4
well-100,2048-12-01,769.34
well-100,2049-01-01,766.08
well-100,2049-02-01,782.44
well-100,2049-03-01,781.74
well-100,2049-04-01,785.07
well-100,2049-05-01,778.94
well-100,2049-06-01,778.99
well-100,2049-07-01,786.04
well-100,2049-08-01,766.18
well-100,2049-09-01,763.13
well-100,2049-10-01,784.5
well-100,2049-11-01,763.4
well-100,2049-12-01,756.58
well-100,2050-01-01,756.58
well-101,2048-02-01,558.7
well-101,2048-03-01,558.7
well-101,2048-04-01,558.2
well-101,2048-05-01,563.33
well-101,2048-06-01,573.78
well-101,2048-07-01,567.29
well-101,2048-08-01,566.5
well-101,2048-09-01,562.87
well-101,2048-10-01,579.78
well-101,2048-11-01,575.79
well-101,2048-12-01,570.94
well-101,2049-01-01,572.72
well-101,2049-02-01,580.04
well-101,2049-03-01,572.23
